QR Code,Photo,Name,Affiliate ,Bio,Website,Type,Instagram
01KSG9DD3RASEDRJ45R,https://brokenscience.org/wp-content/uploads/2026/03/jila-senemar-speaker-v4-web.png,Dr. Jila Senemar,"Board Certified Obstetrician-Gynecologist
","Dr. Jila Senemar, MD, FACOG, is a board-certified obstetrician-gynecologist and founder of JilaMD, a personalized women&rsquo;s midlife health and longevity practice in Miami. With more than 20 years of clinical experience, she specializes in perimenopause and menopause care, evidence-based hormone therapy, metabolic optimization and longevity Medicine, helping women restore energy, resilience, and long-term health through individualized, science-driven care. She is the founder of the Miami Menopause Collective, the EmpowHer Miami woman&rsquo;s health exposition and SecondBloom Health, initiatives dedicated to expanding access to trusted education, community, and modern menopause care. Widely recognized for her clear, compassionate approach and rigorous commitment to evidence-based medicine, Dr. Senemar is a leading voice shaping the future of woman&rsquo;s midlife health and longevity.",,Speaker,
01KSG7F567CKM5H7PFQ,https://brokenscience.org/wp-content/uploads/2025/06/IMG_7195.jpeg,Lori Hill,MetFix Method,,https://MetFixMethod.com,Panelist,
01KKJ8M47FWMNZY6W5F,,Luke Palmisano,Dr Luke P Metabolic Health MetFix,,https://www.drlukep.com/,Panelist,
01KCSKAEEPMGBHAE8BB,,Jen Garrett,,,,Panelist,
01KDTBVP6AVGBCAKZAF,,Patrick Larreategui,,,,Panelist,
01KRHY7N0J2X0PB9JEE,,Peter Shaw,Head of Affiliates / Petra Health MetFix,,https://Www.petrahealth.ca,Panelist,
01KSG8Y4E66A72EMQV6,,Chris Russell,MetFix Jax,,https://www.crossfitjax.com,Panelist,
01KSG9M7MBPKA7TK6E1,,Bob Kaplan,Head of Research,,https://brokenscience.org,Panelist,
01KSG930EJVS4EPAJZ7,,Dale King,Head of Affiliates / PSKC MetFix,,https://www.pskcstrong.com/,MC,
01KSJHZN0QSBKTFH42Z,,Karl Steadman,Ellipsis MetFix,,https://www.ellipsistrainingandadventures.com/,Panelist,
01KSGAW830F5EQPXRAR,,Matt Sherburne,Misfit Gym Windham,,https://www.misfitgymwindham.com,Panelist,
01KRHK702Z7C81112WB,,Theresa Sbarra,MetFix Victor,,http://www.crossfit585victor.com,Panelist,
01KRE9XSA83V0PPWCVK,,John Nittolo,MetFix OCS,,http://www.oxfordcentral.org,Panelist,
01KR4R5WCJD11MF5P9W,,Abrie Sellers,Rose City MetFix,,https://rosecitybarbellclub.com,Panelist,
01KRMP072HESJRS6Q5M,,Erin Richter,Head of Affiliate Outrach / MetFix Bowling Green,,http://www.crossfitoldschool.com,Panelist,
